datetime, tweet, followers
2019-09-14 10:00:42,"b'PlaceMe is recruiting for a Warehouse Stock Control Administrator\n\nProficient in #warehouse management system, https://t.co/O33J3mXrHM'",302
2019-09-14 08:30:11,"b'On this day in 1998, Microsoft became the biggest company in the world after being valued at $261bn on the New York https://t.co/kNqM27XRgu'",82
2019-09-13 23:40:49,b'@Steven_Ballmer you did a good job at #Microsoft growing revenue from $15 billion to $80 billion. Although the stoc https://t.co/tlOkVE3nK9',464
2019-09-13 23:00:06,"b'#Microsoft recently joined the ranks of the trillion dollar company club, but its #Azure success has its stock posi https://t.co/92Jw7G7t4u'",1034
2019-09-13 22:37:20,"b'Microsoft : Connected Vehicle Platform Presence at IAA, the Frankfurt Auto Show #Microsoft #Stock #MarketScreener https://t.co/ingJDNk8Ak'",9421
2019-09-13 21:44:04,b'Microsoft President to Companies : Know What You Stand For #Microsoft #Stock #MarketScreener https://t.co/z2TjaV6bsb https://t.co/hKroB8F7zC',9421
2019-09-13 20:24:18,b'$MSFT breaks back below 50-day moving average: https://t.co/N1r1zCGDHo\nSentiment: Neutral #MSFT #Microsoft',216
2019-09-13 17:32:10,b'Microsoft : Azure Media Services unveils new AI-powered innovations at IBC 2019 #Microsoft #Stock #MarketScreener https://t.co/IyGPcjmfNw',9421
2019-09-13 13:35:17,"b'Microsoft : will never sell facial recognition for surveillance, president says #Microsoft #Stock #MarketScreener https://t.co/q9LGXgMFI9'",9421
2019-09-13 11:53:30,"b""$MSFT's price moved above its 50-day Moving Average on September 12, 2019. View odds for this and other indicators: https://t.co/EwkCGWuYuK""",872
2019-09-13 04:05:05,b'RT @bklynvideogames: Almost forgot. Now in stock #XboxOneX #elitecontroller #microsoft #nyc #brooklynvideogames https://t.co/KV6QpV1ldW',746
2019-09-13 04:03:02,b'RT @bklynvideogames: Almost forgot. Now in stock #XboxOneX #elitecontroller #microsoft #nyc #brooklynvideogames https://t.co/KV6QpV1ldW',371
2019-09-13 01:46:12,b'RT @bklynvideogames: Almost forgot. Now in stock #XboxOneX #elitecontroller #microsoft #nyc #brooklynvideogames https://t.co/KV6QpV1ldW',1154
2019-09-13 01:43:02,b'Almost forgot. Now in stock #XboxOneX #elitecontroller #microsoft #nyc #brooklynvideogames https://t.co/KV6QpV1ldW',1927
2019-09-12 20:44:52,b'$MSFT breaks back above 50-day moving average: https://t.co/1PLYofHvwJ\nSentiment: Neutral #MSFT #Microsoft',216
2019-09-12 19:38:44,b'I am 99% sure that MAPI is broken on Windows 10 when using the default Mail app (NOT Outlook). I used a bone stock https://t.co/qZfDJqjS0F',128
2019-09-12 15:06:18,b'The Brokers at GSIMarkets whould like to inform you that: Microsoft Corp (MSFT) stock rose by 1.0799%! Currently pr https://t.co/wPi04ER4uM',534
2019-09-12 12:52:15,b'#microsoft #microsoftstock #NYSE #NASDAQ #stock #stockforecast #MSFT #stockprice #LSELondon #SGX #IDX #HKEX Microso https://t.co/A0JWQrlGwV',8
2019-09-12 11:25:58,b'#microsoft #microsoftstock #NYSE #NASDAQ #stock #stockforecast #MSFT #stockprice #LSELondon #SGX #IDX #HKEX Accurat https://t.co/oTV58g2nrY',8
2019-09-12 09:03:36,"b'$MSFT enters an Uptrend as Momentum Indicator exceeded the 0 level on September 4, 2019. View odds for this and oth https://t.co/S0yM34DhcO'",872
2019-09-12 02:18:18,"b""RT @GeekyBugle01: So #Disney &amp; #Netflix stock droped after #AppleTv anouncement? If there's a service you should never subscribe to is anyt""",1735
2019-09-12 00:58:23,"b""RT @GeekyBugle01: So #Disney &amp; #Netflix stock droped after #AppleTv anouncement? If there's a service you should never subscribe to is anyt""",2428
2019-09-12 00:57:49,"b""So #Disney &amp; #Netflix stock droped after #AppleTv anouncement? If there's a service you should never subscribe to i https://t.co/akDLBtGyEM""",1233
2019-09-12 00:05:20,b'How in the heck does Apple show up in my stock app when I search #MICROSOFT https://t.co/bj4SoKRTj2',1
2019-09-11 21:01:36,b'$MSFT closes above its opening price after recovering from early selling pressure: https://t.co/TEBRzfvRaY\nSentimen https://t.co/PA6RKcYhcU',216
2019-09-11 10:01:17,"b""$MSFT's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram just turned positive. View odds for this https://t.co/K414MpOfDC""",872
2019-09-10 20:42:15,b'Brendan Burns: Building cloud-native applications with Azure and HashiCorp #Microsoft #Stock #MarketScreener https://t.co/E6eYo24Cqx',9421
2019-09-10 20:34:54,b'$MSFT finds buyers at key support level: https://t.co/SDHbsYfyrp\nSentiment: Bearish #MSFT #Microsoft',216
2019-09-10 18:00:28,"b'#Mecer Z140C + #Microsoft Office 365 Home - R3,499 https://t.co/5OTbQQnEIx\n\nWhatsapp directly https://t.co/9kWHObRZu7'",2694
2019-09-10 13:45:24,"b'Google, Amazon and Microsoft in Battle to Store Health Data in the Cloud #Microsoft #Stock #MarketScreener https://t.co/jji8ZQmCgw'",9421
2019-09-10 09:32:14,"b'$MSFT in Uptrend: 50-day Moving Average crossed above 200-day Moving Average on March 8, 2019. View odds for this a https://t.co/vNyBVYCQNw'",872
2019-09-10 03:55:30,"b'4) #SHAME, SHAME, SHAME @Microsoft. WE, the free people of the world are watching how you empower bloated, albino s https://t.co/GCKFYZHF6N'",1199
2019-09-09 21:06:07,b'$MSFT finds support at 50-day moving average: https://t.co/9EjnOQ55Mm\nSentiment: Slightly bearish #MSFT #Microsoft',216
2019-09-09 18:10:00,b'Fantasy Football: How To Draft Top Stock Picks Like Microsoft https://t.co/yrKZw9n1rb via @IBDinvestors #technology #tech #Microsoft #stocks',2043
2019-09-09 16:02:18,b'in need of a new computer for school. come down to express pawn and check out some of our new apple laptops we have https://t.co/mMgerSUC3l',0
2019-09-09 16:01:57,b'in need of a new computer for school. come down to express pawn and check out some of our new apple laptops we have https://t.co/7IDu5O6B3D',0
2019-09-09 15:01:45,"b""Here's a quicker look at #Microsoft's historical stock price chart and why it matters to #antitrust probes against https://t.co/Y9lXi6NVji""",863
2019-09-09 14:13:05,b'Microsoft : Satellite connectivity expands reach of Azure ExpressRoute across the globe #Microsoft #Stock https://t.co/qGBIuUnWel',9421
2019-09-09 11:59:10,"b'#Microsoft stock is surging this year, and CEO Satya Nadella has been selling millions of dollars of shares.\n\nTim Cook as well from #Apple..'",80
2019-09-09 09:55:08,"b'PlaceMe is recruiting for a Warehouse Stock Control Administrator\n\nProficient in #warehouse management system, https://t.co/OgSziXVhfl'",302
2019-09-09 09:42:05,"b'\xf0\x9f\xa4\x91 As Dollar Tree (DLTR) Stock Value Declined, Shareholder Schaller Investment Group Has Lifted Stake; Microsoft (MS https://t.co/pmc8MJvZGw'",156
2019-09-09 09:39:01,"b'$MSFT in Uptrend: 50-day Moving Average moved above 200-day Moving Average on March 8, 2019. View odds for this and https://t.co/rKIhS8oknk'",872
2019-09-09 02:29:05,"b""Your 'Diversified' ETF Might Now Be Anything But -- Journal Report #Microsoft #Stock #MarketScreener https://t.co/IpYWkB77vw""",9421
2019-09-08 23:30:59,b'@permabear_uk @petenajarian @formyqt Definitely a market leader and a great long term stock to hold but you are not https://t.co/p8nqFmxeIk',54
2019-09-08 22:40:30,b'RT @GUNNSMOKEz: 10 Days Xbox Games Pass Still in stock:\nONLY  - Instant Delivery\nhttps://t.co/4tCqYEL2CO\n\nPerfect To Test Out #Gears5\n#Xb',25
2019-09-08 20:19:03,b'RT @GUNNSMOKEz: 10 Days Xbox Games Pass Still in stock:\nONLY  - Instant Delivery\nhttps://t.co/4tCqYEL2CO\n\nPerfect To Test Out #Gears5\n#Xb',59
2019-09-08 19:11:02,b'10 Days Xbox Games Pass Still in stock:\nONLY  - Instant Delivery\nhttps://t.co/4tCqYEL2CO\n\nPerfect To Test Out https://t.co/7RtFwoWTve',692
2019-09-08 13:00:07,"b""Overachieving fiscal fourth-quarter earning results are suggesting that Microsoft's stock value only plans to rise. https://t.co/SzjDLfW4zv""",1103
2019-09-08 08:14:43,"b'$MSFT in Uptrend: 50-day Moving Average moved above 200-day Moving Average on March 8, 2019. View odds for this and https://t.co/jKAlEUbTkg'",872
2019-09-07 09:48:02,"b'$MSFT in Uptrend: 50-day Moving Average broke above 200-day Moving Average on March 8, 2019. View odds for this and https://t.co/Nu1gBBmitQ'",872
2019-09-07 06:26:33,b'Pinterest plans.... #android #microsoft #newstechnology HTTP/1.1 200 Connection established HTTP/1.1 200 OK Server: https://t.co/LoJ4rXw3cv',3802
2019-09-06 23:38:40,b'RT @tq_equities: $MSFT breaks below key technical support level: https://t.co/F3WAsjQxCx\nSentiment: Neutral #MSFT #Microsoft',2100
2019-09-06 22:32:08,b'Microsoft : Statement of changes in beneficial ownership of securities #Microsoft #Stock #MarketScreener https://t.co/J1E38BqrWA',9421
2019-09-06 20:25:09,b'$MSFT breaks below key technical support level: https://t.co/F3WAsjQxCx\nSentiment: Neutral #MSFT #Microsoft',216
2019-09-06 10:10:13,"b'$MSFT in Uptrend: 50-day Moving Average moved above 200-day Moving Average on March 8, 2019. View odds for this and https://t.co/F7fTCIwDtD'",872
2019-09-06 06:50:22,b'Microsoft : Slack Intensifies a War of Words #Microsoft #Stock #MarketScreener https://t.co/iPPKFXLtn7 https://t.co/EcI8BNIKJk',9421
2019-09-05 21:24:01,b'$MSFT climbs to highest close since July 30th: https://t.co/ReTGhqF6gB\nSentiment: Bullish #MSFT #Microsoft',216
2019-09-05 17:55:49,b'Here A Reason To Own #Microsoft Stock: Its Red-Hot #Cloud Computing #Business\nhttps://t.co/uYxeZPKT22',629
2019-09-05 17:55:08,"b'PlaceMe is recruiting for a Warehouse Stock Control Administrator\n\nProficient in #warehouse management system, https://t.co/lNZBJyJkAn'",302
2019-09-05 17:08:04,b'Microsoft : acquires Movere to help customers unlock cloud innovation with seamless migrat... #Microsoft #Stock https://t.co/hYJc7bevDW',9421
2019-09-05 15:02:01,b'The Brokers at GSIMarkets whould like to inform you that: Microsoft Corp (MSFT) stock rose by 1.6057%! Currently pr https://t.co/y4qF02q6uX',534
2019-09-05 12:56:40,"b'RT @Yasini4real: Why I think we are just getting started with $BTC, #blockchain &amp; the entire #Cryptocurrency ecosystem, we are less than 11'",1001
2019-09-05 09:28:42,"b'$MSFT in Uptrend: 50-day Moving Average broke above 200-day Moving Average on March 8, 2019. View odds for this and https://t.co/Q3OCtZd5vQ'",872
